sepal_length	sepal_width	petal_length	petal_width	sample_id	species	species_name	event_timestamp
5.1	3.5	1.4	0.2	0	0	setosa	2025-05-22 11:01:51.666091
4.9	3.0	1.4	0.2	1	0	setosa	2025-05-22 12:01:51.666091
4.7	3.2	1.3	0.2	2	0	setosa	2025-05-22 13:01:51.666091
4.6	3.1	1.5	0.2	3	0	setosa	2025-05-22 14:01:51.666091
5.0	3.6	1.4	0.2	4	0	setosa	2025-05-22 15:01:51.666091
5.4	3.9	1.7	0.4	5	0	setosa	2025-05-22 16:01:51.666091
4.6	3.4	1.4	0.3	6	0	setosa	2025-05-22 17:01:51.666091
5.0	3.4	1.5	0.2	7	0	setosa	2025-05-22 18:01:51.666091
4.4	2.9	1.4	0.2	8	0	setosa	2025-05-22 19:01:51.666091
4.9	3.1	1.5	0.1	9	0	setosa	2025-05-22 20:01:51.666091
5.4	3.7	1.5	0.2	10	0	setosa	2025-05-22 21:01:51.666091
4.8	3.4	1.6	0.2	11	0	setosa	2025-05-22 22:01:51.666091
4.8	3.0	1.4	0.1	12	0	setosa	2025-05-22 23:01:51.666091
4.3	3.0	1.1	0.1	13	0	setosa	2025-05-23 00:01:51.666091
5.8	4.0	1.2	0.2	14	0	setosa	2025-05-23 01:01:51.666091
5.7	4.4	1.5	0.4	15	0	setosa	2025-05-23 02:01:51.666091
5.4	3.9	1.3	0.4	16	0	setosa	2025-05-23 03:01:51.666091
5.1	3.5	1.4	0.3	17	0	setosa	2025-05-23 04:01:51.666091
5.7	3.8	1.7	0.3	18	0	setosa	2025-05-23 05:01:51.666091
5.1	3.8	1.5	0.3	19	0	setosa	2025-05-23 06:01:51.666091
5.4	3.4	1.7	0.2	20	0	setosa	2025-05-23 07:01:51.666091
5.1	3.7	1.5	0.4	21	0	setosa	2025-05-23 08:01:51.666091
4.6	3.6	1.0	0.2	22	0	setosa	2025-05-23 09:01:51.666091
5.1	3.3	1.7	0.5	23	0	setosa	2025-05-23 10:01:51.666091
4.8	3.4	1.9	0.2	24	0	setosa	2025-05-23 11:01:51.666091
5.0	3.0	1.6	0.2	25	0	setosa	2025-05-23 12:01:51.666091
5.0	3.4	1.6	0.4	26	0	setosa	2025-05-23 13:01:51.666091
5.2	3.5	1.5	0.2	27	0	setosa	2025-05-23 14:01:51.666091
5.2	3.4	1.4	0.2	28	0	setosa	2025-05-23 15:01:51.666091
4.7	3.2	1.6	0.2	29	0	setosa	2025-05-23 16:01:51.666091
4.8	3.1	1.6	0.2	30	0	setosa	2025-05-23 17:01:51.666091
5.4	3.4	1.5	0.4	31	0	setosa	2025-05-23 18:01:51.666091
5.2	4.1	1.5	0.1	32	0	setosa	2025-05-23 19:01:51.666091
5.5	4.2	1.4	0.2	33	0	setosa	2025-05-23 20:01:51.666091
4.9	3.1	1.5	0.2	34	0	setosa	2025-05-23 21:01:51.666091
5.0	3.2	1.2	0.2	35	0	setosa	2025-05-23 22:01:51.666091
5.5	3.5	1.3	0.2	36	0	setosa	2025-05-23 23:01:51.666091
4.9	3.6	1.4	0.1	37	0	setosa	2025-05-24 00:01:51.666091
4.4	3.0	1.3	0.2	38	0	setosa	2025-05-24 01:01:51.666091
5.1	3.4	1.5	0.2	39	0	setosa	2025-05-24 02:01:51.666091
5.0	3.5	1.3	0.3	40	0	setosa	2025-05-24 03:01:51.666091
4.5	2.3	1.3	0.3	41	0	setosa	2025-05-24 04:01:51.666091
4.4	3.2	1.3	0.2	42	0	setosa	2025-05-24 05:01:51.666091
5.0	3.5	1.6	0.6	43	0	setosa	2025-05-24 06:01:51.666091
5.1	3.8	1.9	0.4	44	0	setosa	2025-05-24 07:01:51.666091
4.8	3.0	1.4	0.3	45	0	setosa	2025-05-24 08:01:51.666091
5.1	3.8	1.6	0.2	46	0	setosa	2025-05-24 09:01:51.666091
4.6	3.2	1.4	0.2	47	0	setosa	2025-05-24 10:01:51.666091
5.3	3.7	1.5	0.2	48	0	setosa	2025-05-24 11:01:51.666091
5.0	3.3	1.4	0.2	49	0	setosa	2025-05-24 12:01:51.666091
7.0	3.2	4.7	1.4	50	1	versicolor	2025-05-24 13:01:51.666091
6.4	3.2	4.5	1.5	51	1	versicolor	2025-05-24 14:01:51.666091
6.9	3.1	4.9	1.5	52	1	versicolor	2025-05-24 15:01:51.666091
5.5	2.3	4.0	1.3	53	1	versicolor	2025-05-24 16:01:51.666091
6.5	2.8	4.6	1.5	54	1	versicolor	2025-05-24 17:01:51.666091
5.7	2.8	4.5	1.3	55	1	versicolor	2025-05-24 18:01:51.666091
6.3	3.3	4.7	1.6	56	1	versicolor	2025-05-24 19:01:51.666091
4.9	2.4	3.3	1.0	57	1	versicolor	2025-05-24 20:01:51.666091
6.6	2.9	4.6	1.3	58	1	versicolor	2025-05-24 21:01:51.666091
5.2	2.7	3.9	1.4	59	1	versicolor	2025-05-24 22:01:51.666091
5.0	2.0	3.5	1.0	60	1	versicolor	2025-05-24 23:01:51.666091
5.9	3.0	4.2	1.5	61	1	versicolor	2025-05-25 00:01:51.666091
6.0	2.2	4.0	1.0	62	1	versicolor	2025-05-25 01:01:51.666091
6.1	2.9	4.7	1.4	63	1	versicolor	2025-05-25 02:01:51.666091
5.6	2.9	3.6	1.3	64	1	versicolor	2025-05-25 03:01:51.666091
6.7	3.1	4.4	1.4	65	1	versicolor	2025-05-25 04:01:51.666091
5.6	3.0	4.5	1.5	66	1	versicolor	2025-05-25 05:01:51.666091
5.8	2.7	4.1	1.0	67	1	versicolor	2025-05-25 06:01:51.666091
6.2	2.2	4.5	1.5	68	1	versicolor	2025-05-25 07:01:51.666091
5.6	2.5	3.9	1.1	69	1	versicolor	2025-05-25 08:01:51.666091
